title,author,link
【serverless入門】APIGateway × Lambda で作る Rest API,akkie.i,https://zenn.dev/akkie1030/articles/serverless-tutorial-api-gateway-lambda
監視からオブザーバビリティへ,ユータ,https://zenn.dev/yuta28/articles/cloud-observability
【AWS SAM ハンズオン】API Gateway+Lambda+DynamoDBを作成。,mjxo,https://zenn.dev/mjxo/articles/21f0dd659a174d
【AWS】ServerlessFrameworkでS3静的ホスティングを設定する,とくなが,https://zenn.dev/daisu0925/articles/c55a4b44b8e093
Cognito ユーザープールに削除保護を設定できるようになったので試してみた,koki,https://zenn.dev/kou_pg_0131/articles/aws-cognito-user-pool-deletion-protection
AWS CDK (Go) で Lambda (Go) をデプロイする,かせがお,https://zenn.dev/kasega0/articles/31a8b8f9911217
HerokuのJawsDBからAmazon RDSに移行しようとしたら死ぬほどハマった話,たつきち,https://zenn.dev/ttskch/articles/d619a216246aa0
Herokuからmysqldumpを定期的にS3にバックアップする方法,たつきち,https://zenn.dev/ttskch/articles/81d974550632db
EC2 に Graviton2 を採用するかしないかの基準について考えてみた,joe,https://zenn.dev/joe/articles/a09226c3681dfa
Amazon Linux2にPython3.10とPoetryをインストールする,たまぬぎ,https://zenn.dev/tamanugi/articles/b74138a13d0399
