title,author,link,time
【VSCode】おすすめの拡張機能 21選,Shota Nukumizu,https://zenn.dev/nameless_sn/articles/recommended_vscode,2022-11-05
"pytorch で ResNet50, ResNet101, ResNet152 の実装",HTake,https://zenn.dev/takeguchi/articles/f6b4530d57177e,2022-11-06
第５回 【Python】まだ見ぬアクティビティーを求めてアソビュー ！Doc2Vecモデルチューニング,Tokoroteen,https://zenn.dev/tokoroteen/articles/ab31ea782df6ec,2022-11-06
Google Cloud Translation を利用したテキスト翻訳,アカピクミン,https://zenn.dev/red_picmin/articles/1f0679d32877da,2022-11-06
awsで翻訳web apiを作る方法,yuki satou,https://zenn.dev/yukisatoblog/articles/4b3d1379b56106,2022-11-06
【Python】CSVファイルの読み込みについて【備忘録】,SiganAI,https://zenn.dev/siganai/articles/20221106_python_csv,2022-11-06
【PyCharm】ファイル保存時にlinterとformatterが自動実行されるように設定する,horitaka,https://zenn.dev/horitaka/articles/4fc4a5c19bee22,2022-11-06
pythonでの日付の扱い方,アカピクミン,https://zenn.dev/red_picmin/articles/cf230ca762f04e,2022-11-06
第４回 【Python】まだ見ぬアクティビティーを求めてアソビュー ！機械学習(Doc2Vec),Tokoroteen,https://zenn.dev/tokoroteen/articles/28ad4b0c2ec178,2022-11-05
PyScript試してみた,Sawa,https://zenn.dev/sawa_tszm/articles/6dfdda21d5d702,2022-06-28
